code,nom_de_l_etablissement,nb_mentions_ab_g,nb_mentions_b_g,nb_mentions_tb_g,nombre_eleves_segpa,nombre_eleves_ulis
0600045Y,COLLEGE DE LA VALLEE DU MATZ,24,38,27,0,0
0851193K,COLLEGE JEAN ROSTAND,27,39,34,68,12
0211526V,COLLEGE MONTCHAPET,16,25,34,0,0
9741630D,COLLEGE ANNEXE SAINT CHARLES,6,24,21,0,0
0630039A,COLLEGE LOUISE MICHEL,22,16,34,0,0
0541331D,COLLEGE ALFRED MEZIERES,31,15,20,0,0
0340908C,COLLEGE PRIVE SAINT-CHARLES,15,29,49,0,0
0921012A,COLLEGE PRIVE NOTRE-DAME DE FRANCE,27,25,38,0,10
0090055L,COLLEGE PIERRE BAYLE,37,23,28,0,13
0721042S,COLLEGE JEAN ROSTAND,29,21,31,0,0
0120018E,COLLEGE JEAN AMANS,13,20,26,0,12
0622131E,COLLEGE PRIVE GODEFROY DE BOUILLON,10,12,7,0,0
0100081J,COLLEGE MARIE CURIE,39,29,43,60,8
0752958H,COLLEGE BORIS VIAN,17,20,19,0,12
0370007G,COLLEGE ANDRE BAUCHANT,41,34,24,42,11
0690587N,COLLEGE PRIVE LES MARRONNIERS,18,44,23,0,0
0580038B,COLLEGE LES AMOGNES,5,9,15,0,0
0752925X,COLLEGE PRIVE SAINTE-GENEVIEVE,20,30,28,0,0
0660431K,COLLEGE LE RIBERAL,27,47,52,62,14
0352319F,COLLEGE PRIVE ST GABRIEL,47,64,109,0,0
0100786A,COLLEGE JEAN JAURES,26,17,28,0,3
0290131K,COLLEGE SAINT-POL ROUX,13,9,19,0,14
0771511Z,COLLEGE ARMAND LANOUX,22,33,36,0,0
0850111J,COLLEGE PRIVE DU PUY CHABOT,32,56,59,0,0
0310086A,COLLEGE GEORGE SAND,26,11,17,0,0
0622427B,COLLEGE DU PAYS DE L'ALLOEU,30,45,33,0,0
0780579F,COLLEGE DARIUS MILHAUD,30,27,24,0,12
7200086F,COLLEGE DI FIUMORBU,37,34,56,16,12
0560006C,COLLEGE LES KORRIGANS,16,20,41,0,0
0160050T,COLLEGE JULES VERNE,13,19,51,0,0
0333133B,COLLEGE OLYMPE DE GOUGES,30,53,56,0,0
0133451F,COLLEGE JEAN ZAY,29,27,41,0,14
0601409F,COLLEGE JULES VALLES,33,50,23,0,13
9730248G,COLLEGE ALBERT LONDRES,26,17,3,0,19
0230023A,COLLEGE OCTAVE GACHON,3,10,13,0,0
0560063P,COLLEGE EUGENE GUILLEVIC,8,13,8,0,0
0332195G,COLLEGE VICTOR LOUIS,47,52,44,0,16
0490862W,COLLEGE PRIVE ND DU BRETONNAIS,29,47,38,0,0
0141270E,COLLEGE PAUL ELUARD,17,10,17,39,0
0382043P,COLLEGE FREDERIC MISTRAL,31,23,17,91,14
0141964J,COLLEGE EMILE ZOLA,11,20,22,0,15
0950722U,COLLEGE JEAN MOULIN,34,21,14,0,12
0941033M,COLLEGE JEAN PERRIN,27,23,28,63,0
0370764E,COLLEGE JULES FERRY,11,25,27,0,0
0410005H,COLLEGE HUBERT FILLAY,23,23,31,0,12
0622085E,COLLEGE PAUL DUEZ,29,46,30,0,0
0441613P,COLLEGE PIERRE NORANGE,12,15,11,65,12
0801372G,COLLEGE ALAIN JACQUES,18,22,20,0,13
0572929Z,COLLEGE PRIVE SAINT ANTOINE,18,38,35,0,0
0440153C,COLLEGE PRIVE ST GABRIEL,16,30,16,0,0
0810052S,COLLEGE HONORE DE BALZAC,18,32,43,0,7
0620082C,COLLEGE MONSIGNY,16,23,12,0,0
0622863A,COLLEGE ADAM DE LA HALLE,23,20,28,56,6
9720349X,COLLEGE ROGER CASTENDET,38,27,24,0,0
0830168G,COLLEGE GABRIELLE COLETTE,37,23,20,0,0
0720984D,COLLEGE PRIVE ST JOSEPH,16,42,84,0,0
0370026C,RESEAU DES COLLEGES DE PREUILLY-SUR-CLAISE ET DU GRAND-PRESSIGNY,7,13,9,0,0
0820029L,COLLEGE JEAN ROSTAND,32,61,49,31,25
0594392D,COLLEGE PABLO NERUDA,15,7,5,0,0
0850607Y,COLLEGE LE SOURDY,15,10,16,65,0
0752547L,COLLEGE CLAUDE BERNARD,16,12,15,0,10
0550018W,COLLEGE JEAN MOULIN,14,16,15,0,8
0940101Z,COLLEGE ANTOINE DE SAINT EXUPERY,16,22,46,0,0
0311722D,COLLEGE ROMAIN ROLLAND,31,40,35,0,17
0501206P,COLLEGE JACQUES PREVERT,11,18,20,60,12
0740117A,COLLEGE PRIVE SAINT BRUNO,4,21,22,0,0
0692579D,COLLEGE MARTIN LUTHER KING,30,26,44,26,13
0132789L,COLLEGE PRIVE VIALA LACOSTE,12,59,58,0,0
0280803W,COLLEGE EDOUARD HERRIOT,20,28,28,0,13
0061456A,COLLEGE PRIVE MONT SAINT JEAN,7,22,59,0,0
0760173A,COLLEGE JEAN ZAY,14,17,21,0,0
9760245M,COLLEGE ZAKIA MADI,58,73,50,0,14
0850117R,COLLEGE PRIVE ND DE BOURGENAY,30,56,47,36,11
9740069G,COLLEGE L'ETANG SAINT PAUL,26,28,33,0,13
0572640K,COLLEGE METZ-ARSENAL,25,23,71,0,11
0342078Z,COLLEGE DES SALINS,33,23,28,0,0
0400090F,COLLEGE GASTON CRAMPE,18,26,20,0,13
0912175V,COLLEGE LA FONTAINE AUX BERGERS,26,55,48,0,7
0141136J,COLLEGE PIERRE VARIGNON,5,4,12,0,15
0430017K,COLLEGE LAURENT EYNAC,8,22,21,0,0
0595389M,COLLEGE PRIVE NOTRE-DAME DES DUNES,10,32,83,0,0
0021691C,COLLEGE SAINT JUST,21,37,40,0,26
0060076A,COLLEGE ROUSTAN,14,14,15,0,25
0572587C,COLLEGE JEAN JAURES,16,28,41,47,12
0693331W,COLLEGE LOUIS LEPRINCE RINGUET,33,64,80,0,0
0700063N,COLLEGE PRIVE SAINT JOSEPH,17,21,17,0,0
0594402P,COLLEGE ANDRE CANIVEZ,18,12,25,49,0
0592933T,COLLEGE PRIVE SAINT WINOC,15,34,52,0,0
0260005P,COLLEGE OLIVIER DE SERRES,13,29,50,0,0
0880045W,COLLEGE ALPHONSE CYTERE,14,12,20,0,17
0010794H,COLLEGE DU VALROMEY,14,16,22,0,16
0360658V,COLLEGE ROMAIN ROLLAND,23,18,25,55,11
0622112J,COLLEGE PRIVE SAINT BERTULPHE,6,7,14,0,10
0920998K,COLLEGE PRIVE SAINTE-MARIE,19,27,28,0,0
0780846W,COLLEGE LE RONDEAU,14,14,15,0,0
9720072W,COLLEGE PRIVE LISETTE MOUTACHY,21,17,11,0,0
0171118Y,COLLEGE GEORGES TEXIER,20,29,30,87,24
0500053L,COLLEGE LE FAIRAGE,11,13,5,0,0
0061129V,COLLEGE JULES ROMAINS,30,17,20,0,0
0490860U,COLLEGE PRIVE ST JOSEPH,33,39,16,117,0
0672072N,COLLEGE MARTIN SCHONGAUER,23,26,43,0,13
0851146J,COLLEGE DE L ANGLEE,19,18,11,0,11
0470732R,COLLEGE LUCIE AUBRAC,12,9,10,0,0
0050480V,COLLEGE FONTREYNE (DE),33,45,52,54,11
0860761K,COLLEGE PRIVE JEANNE D ARC,12,10,3,0,0
0280993C,COLLEGE PRIVE NOTRE DAME,38,40,37,0,0
0910980W,COLLEGE PRIVE MOREAU,19,8,5,0,0
0752317L,COLLEGE CLAUDE DEBUSSY,16,7,85,0,0
0820824A,COLLEGE JEAN HONORE FRAGONARD,32,30,39,0,13
0100947A,COLLEGE PIERRE ET FRANCOIS PITHOU,23,27,32,0,10
0132923G,COLLEGE PRIVE CHEVREUL BLANCARDE,11,33,54,0,11
0752528R,COLLEGE VICTOR DURUY,15,24,59,0,12
0312610U,COLLEGE MARCEL DORET,36,43,48,0,16
0590103S,COLLEGE FERNANDE BENOIST,22,27,34,42,14
0752882A,COLLEGE PRIVE PAUL CLAUDEL D'HULST,14,35,64,0,0
0600060P,COLLEGE JACQUES PREVERT,24,37,47,0,0
0740026B,COLLEGE EMILE ALLAIS,14,19,25,0,0
0672135G,COLLEGE LES CIGOGNES,13,10,21,0,0
0594386X,COLLEGE LE PARC,24,15,34,0,0
0930884F,COLLEGE AIME ET EUGENIE COTTON,40,33,24,0,0
0752532V,COLLEGE JACQUES DECOUR,9,21,72,0,10
0692943Z,COLLEGE PRIVE SAINT JOSEPH,10,52,137,0,12
0741117M,COLLEGE LE SEMNOZ,28,42,50,62,11
0133492A,COLLEGE JEAN BERNARD,29,30,36,0,0
9710826W,COLLEGE SAINT-JOHN PERSE,35,31,28,0,13
0530055X,COLLEGE PRIVE BX FRASSATI,27,31,16,0,12
0171022U,COLLEGE MAURICE CALMEL,29,21,25,0,0
0360510J,COLLEGE PRIVE SAINTE ANNE,9,10,9,0,0
0762764S,COLLEGE ANDRE MARIE,19,21,33,64,13
0460024B,COLLEGE D'ISTRIE,7,13,6,0,0
0593667R,COLLEGE ROSA PARKS,33,8,10,59,14
0490032U,COLLEGE JEAN ZAY,32,48,58,0,12
0370799T,COLLEGE RAOUL REBOUT,25,38,39,0,11
0631073Z,COLLEGE PRIVE MASSILLON,15,28,76,0,0
0692160Y,COLLEGE GERARD PHILIPE,33,35,28,54,13
0350770X,COLLEGE PRIVE STE MARIE,51,70,78,0,0
0860020E,COLLEGE ARSENE LAMBERT,23,29,29,0,12
0131548M,COLLEGE SYLVAIN MENU,30,37,45,68,11
0711069B,COLLEGE LA CROIX MENEE,28,26,20,62,0
0560071Y,COLLEGE JEAN LE COUTALLER,15,14,7,0,0
0830075F,COLLEGE ALPHONSE KARR,26,29,32,0,0
0382114S,COLLEGE STENDHAL,25,26,43,0,0
0341537L,COLLEGE FREDERIC MISTRAL,28,20,51,0,0
0421452A,COLLEGE GAMBETTA,30,39,60,0,4
0640005H,COLLEGE CORISANDE D ANDOINS,10,15,9,0,0
0910046F,COLLEGE JOSEPH BARA,14,21,33,0,14
9740468R,COLLEGE BORY DE ST VINCENT,10,13,17,0,5
0940003T,COLLEGE AMEDEE LAPLACE,14,11,14,0,0
0311325X,COLLEGE VOLTAIRE,17,9,11,65,0
0380013H,COLLEGE NELSON MANDELA,21,16,16,0,0
0310003K,COLLEGE EMILE-PAUL VAYSSIE,7,10,17,0,14
0910021D,COLLEGE LE VILLAGE,50,36,29,59,0
0490046J,COLLEGE LES FONTAINES,13,17,22,0,0
0691651V,COLLEGE PRIVE SAINT CHARLES,36,70,29,0,12
0660872P,COLLEGE PRIVE POMPEU FABRA,11,15,12,0,0
0350003N,COLLEGE RENE CASSIN,14,24,23,0,0
0601139M,COLLEGE PRIVE NOTRE DAME,28,33,57,0,7
0580599L,COLLEGE ADAM BILLAUT,12,17,23,0,25
0400025K,COLLEGE RENE SOUBAIGNE,17,9,24,0,12
0420012K,COLLEGE LE PALAIS,24,55,52,0,13
0080909V,COLLEGE VALLIERE,12,8,17,49,10
0540054R,COLLEGE VAL DE SEILLE,19,13,27,0,0
0350021H,COLLEGE FRANCOIS BRUNE,12,7,13,0,0
0501217B,COLLEGE ANDRE MICLOT,12,11,6,0,0
0921912D,COLLEGE PRIVE STE MARIE,0,6,107,0,0
0750609E,COLLEGE PAUL VERLAINE,11,23,54,0,0
0330093X,COLLEGE NA,13,14,19,0,0
9740841W,COLLEGE PLATEAU GOYAVES,21,27,30,124,6
0920881H,COLLEGE HENRI BERGSON,23,39,56,0,10
0802134K,COLLEGE PRIVE SAINTE FAMILLE - SAINT PIERRE,23,17,20,0,13
0762816Y,COLLEGE MASSEOT ABAQUESNE,22,26,44,0,0
0360048G,COLLEGE LA FAYETTE,24,26,18,0,13
0761696F,COLLEGE ROMAIN ROLLAND,20,26,23,0,0
0240924Z,COLLEGE PRIVE NOTRE DAME,12,11,15,47,0
0371159J,COLLEGE JEAN ZAY,25,17,27,70,12
0693975W,COLLEGE SIMONE VEIL,27,48,76,0,11
0601150Z,COLLEGE PRIVE ANNE-MARIE JAVOUHEY,38,68,81,0,10
0332187Y,COLLEGE HASTIGNAN,34,44,82,62,14
0692163B,COLLEGE JEAN-JACQUES ROUSSEAU,45,41,56,0,12
0340032A,COLLEGE LES ARBOURYS,20,20,27,0,11
0560058J,COLLEGE YVES COPPENS,11,16,22,0,0
0370768J,COLLEGE GEORGES BESSE,31,35,24,57,22
0301096D,COLLEGE LA VALLEE VERTE,45,43,42,93,12
0460006G,COLLEGE GAMBETTA,35,64,50,0,10
0501240B,COLLEGE GABRIEL DE MONTGOMMERY,16,15,10,0,0
0810125W,COLLEGE LOUIS PASTEUR,37,26,30,59,12
0110044N,COLLEGE PRIVE JEANNE D ARC,19,70,50,0,0
0592733A,COLLEGE ANDRE STREINGER,15,18,17,53,14
0511173Y,COLLEGE PRIVE NOTRE-DAME ST VICTOR,26,52,43,0,0
0010083K,COLLEGE PRIVE SAINT LOUIS,42,35,48,0,0
0260003M,COLLEGE MARC SEIGNOBOS,21,39,53,0,10
0860758G,COLLEGE PRIVE LA PROVIDENCE,27,37,48,0,10
0342131G,COLLEGE FRANCOIS RABELAIS,31,26,41,0,12
0780581H,COLLEGE PAUL ELUARD,21,6,21,0,12
0840018N,COLLEGE PAUL GAUTHIER,22,23,24,81,11
0911036G,COLLEGE JEAN VILAR,19,12,20,64,8
0870820U,COLLEGE BERNARD PALISSY,25,29,24,0,0
0490010V,COLLEGE CHATEAUCOIN,15,21,21,0,12
0601295G,COLLEGE JACQUES MONOD,17,20,29,0,0
0491260D,COLLEGE FRANCOIS VILLON,33,42,34,0,23
0910967G,COLLEGE LA GUYONNERIE,14,17,59,0,0
0890019M,COLLEGE MILES DE NOYERS,7,15,12,0,0
0331529H,COLLEGE PRIVE JEANNE D'ARC ASSOMPTION,26,63,45,0,0
0800004V,COLLEGE WILLIAM HENRI CLASSEN,20,29,34,0,15
0611092F,COLLEGE PRIVE SAINT THOMAS D'AQUIN,36,37,36,0,8
0511254L,COLLEGE FRANCOIS LEGROS,32,23,26,0,15
0781597M,COLLEGE PRIVE ST JEAN HULST,33,91,256,0,9
0741757H,COLLEGE DU CHERAN,17,28,29,0,11
0311634H,COLLEGE JULES FERRY,32,64,54,0,13
0260029R,COLLEGE FERNAND BERTHON,20,25,12,0,0
0271449D,COLLEGE PRIVE NOTRE DAME - SAINT FRANCOIS,18,30,25,0,0
0951920W,COLLEGE FRANCOIS TRUFFAUT,23,20,18,0,9
0622434J,COLLEGE ROGER SALENGRO,17,18,21,0,6
0650034J,COLLEGE PAUL ELUARD,22,22,24,69,0
0820017Y,COLLEGE FRANCOIS MITTERRAND,21,26,40,49,28
0350835T,COLLEGE PRIVE LA TOUR D'AUVERGNE LA SALLE,16,30,41,0,10
0221751J,COLLEGE PRIVE ST PIERRE,13,41,51,0,0
0622139N,COLLEGE PRIVE NOTRE-DAME,5,14,10,0,0
0381710C,COLLEGE PRIVE SAINT JOSEPH,46,50,28,0,0
0750465Y,COLLEGE LUCIE ET RAYMOND AUBRAC,12,20,50,0,12
0931612X,COLLEGE JEAN ZAY,24,10,12,51,0
0671590P,COLLEGE SOPHIE GERMAIN,35,24,20,53,13
0941099J,COLLEGE ROSA PARKS,27,13,25,0,0
0631238D,COLLEGE ANTOINE AUDEMBRON,30,32,47,64,27
0860053R,COLLEGE CAMILLE CLAUDEL,12,11,15,57,0
0370741E,COLLEGE PRIVE SAINT ETIENNE,11,21,28,0,0
0631448G,COLLEGE DE VERRIERE,15,18,20,0,9
0941718G,COLLEGE PRIVE NOTRE DAME DE LA PROVIDENCE,5,33,106,0,0
0310085Z,COLLEGE JEAN-PIERRE VERNANT,38,43,62,0,15
0801225X,COLLEGE PRIVE SAINT VINCENT,12,32,30,0,9
0752187V,COLLEGE JACQUES PREVERT,9,14,44,30,11
0421454C,COLLEGE MARIO MEUNIER,49,84,97,77,12
0610057F,COLLEGE JEAN MONNET,13,16,19,55,13
0754706H,COLLEGE MARIE CURIE,16,12,25,0,12
0440224E,COLLEGE PRIVE ST MARTIN,40,55,21,0,0
0491924A,COLLEGE PRIVE SAINT-BENOIT,22,45,101,0,0
0860044F,COLLEGE MAURICE BEDEL,18,17,18,0,0
0800020M,COLLEGE AMIRAL LEJEUNE,21,17,36,0,13
0762566B,COLLEGE PRIVE JEAN-BAPTISTE DE LA SALLE,16,25,104,0,0
0594303G,COLLEGE JEHAN FROISSART,14,20,9,0,0
0421680Y,COLLEGE LOUISE MICHEL,27,17,20,0,13
0290316L,COLLEGE PRIVE STE MARIE,9,8,8,0,0
0221999D,COLLEGE PRIVE SAINT YVES-LA SALLE,12,15,17,0,8
0133775H,COLLEGE MARIE LAURENCIN,13,3,7,0,9
0131700C,COLLEGE PESQUIER,23,14,38,0,0
0021535H,COLLEGE LAMARTINE,21,17,26,0,19
9710686U,COLLEGE FRONT DE MER,14,10,5,97,21
0180766K,COLLEGE LE GRAND MEAULNES,13,10,9,0,9
0332934K,COLLEGE ELISE DEROCHE,27,24,44,0,16
0460528Z,COLLEGE OLIVIER DE MAGNY,19,22,27,63,10
0790072Z,COLLEGE PRIVE SAINT ANDRE,20,21,11,0,0
0672193V,COLLEGE DE LA SOUFFEL,21,41,48,0,11
0740083N,COLLEGE PRIVE LES TILLEULS,32,33,47,0,5
0440239W,COLLEGE PRIVE LAMORICIERE,37,60,47,0,12
0631479R,COLLEGE JEAN ROSTAND,28,38,83,0,16
0442542Z,COLLEGE ANDREE CHEDID,27,39,49,0,0
0670065G,COLLEGE LECLERC,18,19,10,0,0
0801263N,COLLEGE ARTHUR RIMBAUD,30,26,16,0,15
0021593W,COLLEGE JACQUES PREVERT,17,13,29,0,0
0932454M,COLLEGE LUCIE AUBRAC,42,39,31,0,1
0311769E,COLLEGE GRAND SELVE,27,24,54,79,16
0781600R,COLLEGE PRIVE ST LOUIS-NOTRE-DAME DU BEL AIR,12,53,76,0,0
0601365H,COLLEGE PHILEAS LEBESGUE,22,25,20,0,0
0810051R,COLLEGE ARISTIDE BRUANT,20,21,25,0,0
0640073G,COLLEGE REINE SANCIE,5,7,16,0,0
0500035S,COLLEGE ROLAND VAUDATIN,10,11,13,0,0
0680013V,COLLEGE VICTOR SCHOELCHER,42,30,26,56,10
0780263M,COLLEGE PIERRE ET MARIE CURIE,25,21,55,55,0
0670004R,COLLEGE LE RIED,28,33,37,51,13
0740001Z,COLLEGE DU VAL D'ABONDANCE,9,14,5,0,0
0911746D,COLLEGE PRIVE SAINT PIERRE,15,72,112,0,0
0490048L,COLLEGE JEAN ROSTAND,14,9,11,55,0
0601445V,COLLEGE LOUISE MICHEL,25,39,31,57,13
0631111R,COLLEGE PRIVE SAINT JOSEPH,12,18,9,0,14
0332246M,COLLEGE CHAMBERY,33,51,53,62,16
0911127F,COLLEGE MONDETOUR,22,26,22,51,0
0260001K,COLLEGE DE L'EUROPE JEAN MONNET,31,61,34,0,11
0694295U,COLLEGE ALICE GUY,26,22,16,0,0
0800025T,COLLEGE JULES FERRY,19,19,32,0,11
0450008P,COLLEGE ALBERT CAMUS,30,16,13,33,12
0762564Z,COLLEGE PRIVE SAINT JOSEPH,57,67,109,0,0
6200011T,COLLEGE LAETITIA BONAPARTE,32,37,47,0,0
0380055D,COLLEGE RAYMOND GUELEN,7,12,19,0,0
0640163E,COLLEGE PRIVE STE MARIE,16,30,43,0,13
0451334F,COLLEGE PRIVE STE CROIX ST EUVERTE,40,74,87,0,0
0131261A,COLLEGE AUGUSTE RENOIR,17,14,21,0,0
0921780K,COLLEGE LOUIS PASTEUR,16,34,85,0,7
0622792Y,COLLEGE BRACKE DESROUSSEAUX,32,27,37,0,12
0921496B,COLLEGE GEORGES POMPIDOU,24,23,38,49,12
0240045U,COLLEGE CHARLES DE GAULLE,6,8,12,0,0
0730009N,COLLEGE SAINT EXUPERY,43,54,48,0,0
0400093J,"COLLEGE H, SCOGNAMIGLIO",11,18,13,0,8
0753908R,COLLEGE PRIVE LA BRUYERE-SAINTE-ISABELLE,3,19,117,0,0
0840852V,COLLEGE PRIVE MARIE PILA GARCONS,7,28,40,0,0
0561931V,COLLEGE ANNE FRANK,31,21,39,0,12
0840060J,COLLEGE PRIVE ST JEAN BAPTISTE DE LA SALLE,25,57,89,0,0
0810089G,COLLEGE PRIVE SAINT-DOMINIQUE,13,15,9,0,0
0611094H,COLLEGE PRIVE BIGNON,15,17,14,0,0
9730110G,COLLEGE EUGENIE TELL-EBOUE,44,19,24,91,24
0061737F,COLLEGE ANDRE MALRAUX,15,35,36,0,24
0460008J,COLLEGE EMILE VAYSSE,7,10,22,0,0
0851304F,COLLEGE AUGUSTE ET JEAN RENOIR,27,26,37,48,13
0820014V,COLLEGE DU PAYS DE SERRES,15,14,19,0,11
0221744B,COLLEGE PRIVE NOTRE DAME DE LA VICTOIRE,17,20,48,0,0
0220104U,COLLEGE PRIVE ST JOSEPH - BOSSUET,59,41,84,62,6
0340902W,COLLEGE PRIVE ST J-B DE LA SALLE,9,33,68,0,11
0060744B,COLLEGE PRIVE NOTRE-DAME DU SACRE COEUR,17,24,24,0,0
9730307W,COLLEGE CONCORDE - MAURICE DUMESNIL,39,14,11,139,22
0300043J,COLLEGE JEAN BAPTISTE DUMAS,24,30,45,0,12
0030092J,COLLEGE LUCIEN COLON,13,33,12,0,12
0221126E,COLLEGE JEAN RICHEPIN,12,26,21,0,0
0642006H,COLLEGE PRIVE MANEX ERDOZAINTZI ETXART,17,18,17,0,6
0332189A,COLLEGE NELSON MANDELA,21,14,23,0,0
0331511N,COLLEGE PRIVE JEANNE D ARC-ST ROMAIN,9,13,26,0,10
0491026Z,COLLEGE REPUBLIQUE,16,24,28,0,12
0831552L,COLLEGE YVES MONTAND,30,34,20,0,0
0593171B,COLLEGE PRIVE SAINT LUC JEANNE D'ARC,44,60,90,0,11
0301653J,COLLEGE PRIVE D'ALZON-CANDIAC,26,55,50,0,0
0420968Z,COLLEGE ENNEMOND RICHARD,31,33,30,62,13
0340016H,COLLEGE LA DULLAGUE,14,15,23,0,11
0022131F,COLLEGE PRIVE SAINT ANTOINE,12,13,15,0,0
0930959M,COLLEGE PRIVE JEAN-BAPTISTE DE LA SALLE,51,69,66,0,9
0170005N,COLLEGE ALIENOR D AQUITAINE,17,21,30,0,0
0291086Y,COLLEGE JEAN JAURES,22,25,23,0,0
0951099D,COLLEGE JACQUES DAGUERRE,20,30,52,0,11
0421063C,COLLEGE PRIVE SAINT JOSEPH,15,35,18,0,0
0951916S,COLLEGE PRIVE O R T,15,5,17,0,0
0800051W,COLLEGE JULES VERNE,23,27,8,0,13
0381658W,COLLEGE PRIVE SAINT MICHEL,13,39,84,0,0
0620172A,COLLEGE FRANCOIS MITTERRAND,25,39,61,0,13
0881369K,COLLEGE CAMILLE CLAUDEL,22,17,32,35,11
0451148D,COLLEGE PABLO PICASSO,34,29,27,0,12
0490844B,COLLEGE PRIVE ST AUGUSTIN,34,46,69,61,12
0312071H,COLLEGE JULES VERNE,38,43,74,0,15
0670056X,COLLEGE PIERRE CLAUDE,22,40,28,34,12
0383455Z,COLLEGE STEPHEN HAWKING,25,45,49,0,14
0450023F,COLLEGE LE PRE DES ROIS,33,32,31,0,0
0460734Y,COLLEGE PRIVE SAINTE-THERESE,8,14,8,0,0
9760180S,COLLEGE MARIAMA SALIM,50,42,12,0,14
0240014K,COLLEGE GEORGES ET MARIE BOUSQUET,13,21,12,0,0
0880096B,COLLEGE PRIVE SAINT JOSEPH,22,18,19,0,16
0932582B,COLLEGE DORA MAAR,53,22,26,0,13
0721363R,COLLEGE BERTHELOT,27,33,39,0,0
0441939U,COLLEGE PRIVE GABRIEL DESHAYES,36,46,41,0,0
0331433D,COLLEGE PIERRE MARTIN,18,23,21,0,0
9710086S,COLLEGE APPEL DU 18 JUIN,32,23,19,68,20
0280869T,COLLEGE JEAN MONNET,27,27,20,24,0
0594634S,COLLEGE THEODORE MONOD,18,11,13,55,13
0160032Y,COLLEGE ANTOINE DELAFONT,10,11,14,0,11
0290021R,COLLEGE DES DEUX BAIES,14,14,19,0,0
0270007L,COLLEGE SIMONE VEIL,36,38,51,0,0
0680013V,COLLEGE VICTOR SCHOELCHER,37,43,55,56,10
0671907J,COLLEGE HANS ARP,16,18,21,51,12
0470012H,COLLEGE JEAN ROSTAND,15,29,17,0,0
0500094F,COLLEGE GEORGES LAVALLEY,18,17,27,0,12
0752548M,COLLEGE JANSON DE SAILLY,46,75,202,0,11
0501482P,COLLEGE JULES FERRY,21,16,28,37,13
0771661M,COLLEGE JEAN CAMPIN,32,39,13,56,11
0881099S,COLLEGE JOSEPH-JULIEN SOUHAIT,12,17,23,0,12
0420023X,COLLEGE DES MONTAGNES DU MATIN,19,18,25,0,0
0830734X,COLLEGE JEAN MOULIN,33,29,26,72,22
0840764Z,COLLEGE ARAUSIO,38,35,48,0,6
0671960S,COLLEGE DU BOIS FLEURI,13,29,41,0,12
0330062N,COLLEGE CANTERANE,37,25,33,0,15
0931231H,COLLEGE PIERRE DE GEYTER,22,13,14,0,0
0730904L,COLLEGE LA COMBE DE SAVOIE,43,35,24,58,15
0171129K,COLLEGE ANDRE DULIN,33,50,35,0,12
0150033E,COLLEGE JEAN DE LA FONTAINE,6,5,15,0,0
0530826K,COLLEGE SEVIGNE,21,27,26,0,0
0240016M,COLLEGE ARNAULT DE MAREUIL,12,6,12,0,0
0771216D,COLLEGE PRIVE SAINTE CROIX,23,35,15,0,0
0671960S,COLLEGE DU BOIS FLEURI,23,26,26,0,12
0681366R,COLLEGE JEAN MOULIN,9,28,36,0,11
0810008U,COLLEGE BRASSAC,11,15,11,0,0
0501242D,COLLEGE LE CLOS TARDIF,21,15,14,31,0
0180023C,COLLEGE JULIEN DUMAS,9,13,12,0,0
0592899F,COLLEGE PRIVE SAINT ROBERT,40,40,38,0,6
0341066Z,COLLEGE JEAN PERRIN,14,27,27,60,12
0121295T,COLLEGE DE LA VIADENE,8,16,10,0,6
0690060R,COLLEGE JEAN MERMOZ,11,13,8,0,0
0220161F,COLLEGE PRIVE ST STANISLAS,13,17,8,0,0
0650036L,COLLEGE DU VAL D'ARROS,13,11,28,0,15
0541466A,COLLEGE JULIEN FRANCK,17,19,35,59,11
0130139F,COLLEGE COIN JOLI SEVIGNE,15,10,7,0,13
0780119F,COLLEGE LOUIS LUMIERE,51,58,89,0,0
0930903B,COLLEGE PRIVE NOTRE DAME DES VERTUS,28,29,22,0,0
0421487N,COLLEGE JACQUES PREVERT,44,40,88,63,13
0921168V,COLLEGE ROMAIN ROLLAND,24,14,21,47,8
0950898K,COLLEGE PIERRE ET MARIE CURIE,43,35,34,39,10
0340894M,COLLEGE PRIVE SAINTE-THERESE LA SALLE,19,31,31,0,0
0440016D,COLLEGE ANNE DE BRETAGNE,24,30,49,0,8
0270032N,COLLEGE PIERRE CORNEILLE,17,23,21,64,12
0940100Y,COLLEGE PLAISANCE,12,14,24,0,16
0491025Y,COLLEGE COLBERT,21,15,36,0,0
0251054K,COLLEGE PRIVE JEAN BOSCO,7,24,21,0,0
0690131T,COLLEGE RAOUL DUFY,11,18,40,0,14
0921911C,COLLEGE PRIVE JEANNE D ARC,8,20,64,0,0
0772427V,COLLEGE CHRISTINE DE PISAN,28,38,52,0,0
0870006J,COLLEGE PIERRE MENDES FRANCE,6,10,20,0,0
0593182N,COLLEGE JULES FERRY,11,10,17,0,0
0860015Z,COLLEGE BELLEVUE,15,22,17,0,0
0340972X,COLLEGE VICTOR HUGO,14,17,21,0,13
0630047J,COLLEGE PIERRE GIRONNET,14,15,11,0,0
0771331D,COLLEGE PAUL LANGEVIN,30,31,19,52,0
0931883S,COLLEGE RENE CASSIN,36,23,8,0,14
0300037C,COLLEGE JEAN VILAR,35,22,27,58,10
0900335A,COLLEGE PRIVE SAINTE MARIE,27,100,69,0,0
0641659F,COLLEGE PRIVE JEANNE D ARC,12,9,14,0,0
